"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs",179,0,220,347,137,3515,33212,3.49
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=014e1cd4-77b3-4cb2-9885-87be947eee6a",1,0,440,442,442,442,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=014e1cd4-77b3-4cb2-9885-87be947eee6a",1,0,250,249,249,249,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=01ba944a-0eff-4b2d-9d86-c6bf60f70d94",1,0,390,388,388,388,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=01ba944a-0eff-4b2d-9d86-c6bf60f70d94",1,0,220,215,215,215,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02195ed5-8401-40dc-858a-27332d1cd508",1,0,510,512,512,512,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02195ed5-8401-40dc-858a-27332d1cd508",1,0,270,272,272,272,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02853948-9074-4180-aa3b-3420cbbd7d1e",1,0,2700,2681,2681,2681,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02853948-9074-4180-aa3b-3420cbbd7d1e",1,0,320,322,322,322,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=029d3cd5-722b-4615-b1b4-20b9d7e9b65c",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=029d3cd5-722b-4615-b1b4-20b9d7e9b65c",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d59ca-dc84-4a79-b347-5c1c81eb5844",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=031d59ca-dc84-4a79-b347-5c1c81eb5844",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=033784aa-9b73-4a76-bf91-41c649c1557e",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=033784aa-9b73-4a76-bf91-41c649c1557e",0,0,0,0,0,0,0,0.00
