"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs",153,0,280,478,138,3786,43121,4.97
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0271731f-1b23-43e6-9d41-0a87ae9ac5c2",1,0,1200,1198,1198,1198,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0271731f-1b23-43e6-9d41-0a87ae9ac5c2",1,0,290,287,287,287,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02cf4e4a-f355-4098-9aec-4e44c237fe44",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=02cf4e4a-f355-4098-9aec-4e44c237fe44",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=03ce835a-24dd-4ae2-97d3-e3ea3f9c3947",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=03ce835a-24dd-4ae2-97d3-e3ea3f9c3947",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=03f72f0c-dccd-4f02-b609-dce93086af3f",1,0,1700,1729,1729,1729,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=03f72f0c-dccd-4f02-b609-dce93086af3f",1,0,260,265,265,265,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=04435a38-7858-4f32-bd02-d763189aea84",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=04435a38-7858-4f32-bd02-d763189aea84",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=044eb0e9-a1c6-4984-825d-f23d6133a386",1,0,960,963,963,963,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=044eb0e9-a1c6-4984-825d-f23d6133a386",1,0,400,405,405,405,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=07232642-285d-4089-a432-201d6a051640",1,0,920,915,915,915,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=07232642-285d-4089-a432-201d6a051640",1,0,240,235,235,235,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0842a333-221f-4993-9276-c5af8e263029",1,0,4100,4082,4082,4082,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0842a333-221f-4993-9276-c5af8e263029",1,0,200,196,196,196,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=08701d3c-f090-4795-9519-5bc0d53efa5b",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=08701d3c-f090-4795-9519-5bc0d53efa5b",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=08953127-bb6f-47c0-b84e-003e48def74f",1,0,340,335,335,335,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0ac116b4-d37d-408b-b618-7ab3d93a9410",1,0,2400,2367,2367,2367,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0ac116b4-d37d-408b-b618-7ab3d93a9410",1,0,190,194,194,194,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcb9cca-ab5c-412a-b8b0-dc412ff20c26",1,0,1000,1026,1026,1026,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0bcb9cca-ab5c-412a-b8b0-dc412ff20c26",1,0,380,377,377,377,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0c4448c5-d649-4fef-b60f-10b8bd9440ac",1,0,6100,6126,6126,6126,15,0.03
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0c4448c5-d649-4fef-b60f-10b8bd9440ac",1,0,290,287,287,287,4701,0.03
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=0db75169-d43b-4671-aee0-3fed7bc64311",1,0,3500,3478,3478,3478,15,0.03
